,lat,lon,Department,City,bedrooms,bathrooms,surface_total,surface_covered,price,property_type,P/sqmtr
0,11.006,-74.808,Atlántico,Barranquilla,2.0,2.0,95.0,95.0,280000000.0,Apartamento,2947368.0
2,4.689,-74.05,Cundinamarca,Bogotá D.C,2.0,3.0,125.0,125.0,810000000.0,Apartamento,6480000.0
3,3.446,-76.551,Valle del Cauca,Cali,3.0,2.0,91.0,91.0,495000000.0,Apartamento,5439560.0
4,3.383,-76.537,Valle del Cauca,Cali,3.0,2.0,100.0,100.0,350000000.0,Apartamento,3500000.0
5,3.437,-76.548,Valle del Cauca,Cali,3.0,3.0,155.0,139.0,630000000.0,Apartamento,4064516.0
6,4.723,-74.039,Cundinamarca,Bogotá D.C,3.0,3.0,93.0,93.0,500000000.0,Apartamento,5376344.0
7,4.753,-74.069,Cundinamarca,Bogotá D.C,5.0,4.0,149.0,167.0,850000000.0,Casa,5704697.0
9,3.438,-76.536,Valle del Cauca,Cali,4.0,2.0,300.0,300.0,600000000.0,Casa,2000000.0
10,3.576,-76.489,Valle del Cauca,Yumbo,2.0,2.0,60.0,120.0,170000000.0,Casa,2833333.0
11,3.255,-76.54,Valle del Cauca,Jamundí,3.0,2.0,113.0,98.0,330000000.0,Casa,2920353.0
12,3.364,-76.495,Valle del Cauca,Cali,3.0,2.0,85.0,85.0,240000000.0,Apartamento,2823529.0
13,3.487,-76.495,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,132000000.0,Apartamento,2200000.0
14,3.402,-76.529,Valle del Cauca,Cali,3.0,2.0,60.0,60.0,182000000.0,Apartamento,3033333.0
15,6.179,-75.6,Antioquia,Itagui,2.0,2.0,82.0,82.0,220000000.0,Apartamento,2682926.0
16,4.57,-74.527,Cundinamarca,Anapoima,2.0,2.0,76.0,76.0,520000000.0,Apartamento,6842105.0
17,11.001,-74.81,Atlántico,Barranquilla,3.0,2.0,182.0,182.0,420000000.0,Apartamento,2307692.0
18,4.891,-74.071,Cundinamarca,Chía,3.0,3.0,144.0,144.0,573000000.0,Casa,3979166.0
19,3.59,-76.515,Valle del Cauca,Yumbo,3.0,3.0,70.0,140.0,235000000.0,Casa,3357142.0
20,3.455,-76.533,Valle del Cauca,Cali,4.0,3.0,117.0,117.0,315000000.0,Apartamento,2692307.0
21,11.19,-74.231,Magdalena,Santa Marta,3.0,3.0,134.0,134.0,990000000.0,Apartamento,7388059.0
22,10.993,-74.796,Atlántico,Barranquilla,3.0,3.0,96.0,96.0,270000000.0,Apartamento,2812500.0
23,3.54,-76.276,Valle del Cauca,Cali,3.0,4.0,147.0,147.0,610000000.0,Apartamento,4149659.0
24,6.175,-75.59,Antioquia,Itagui,3.0,4.0,157.0,157.0,410000000.0,Apartamento,2611464.0
25,3.4,-76.501,Valle del Cauca,Cali,6.0,5.0,97.0,285.0,290000000.0,Casa,2989690.0
27,3.379,-76.524,Valle del Cauca,Cali,3.0,2.0,90.0,90.0,300000000.0,Apartamento,3333333.0
